hostname,executable,timestamp,cmd_args,srcCloud,destCloudPtNT,destCloudDesc,RANSAC_preset,FEST src [ms],align [ms],fitScore,allignment,info,tf_martrix_filename,maxIter,simThrH,maxCorrDist,inlierFract
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:22.25838630 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_0_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_0_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,31.868415,1622.346748,2.699522,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:25.843958926 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_1_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_1_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,45.907240,1616.938841,2.640731,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:29.668483974 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_2_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_2_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,28.974639,1598.091753,2.380479,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:31.438672419 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_3_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_3_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,22.829193,1525.425616,2.223240,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:35.145923436 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_4_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_4_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,33.350254,1488.831122,2.229390,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:38.846362019 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_5_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_5_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,46.535237,1608.699583,2.646736,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:42.667243596 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_6_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_6_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,28.083181,1492.888299,2.678064,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:44.351693249 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_7_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_7_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,50.701589,1708.136602,2.867477,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:48.282792438 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_8_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_8_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,41.219622,1666.945439,1.956134,FAILED,none,none,1000000,0.950000,0.250000,0.800000
ChrisLegion,./06_normal_fpfh,03/03/24 14:10:52.149427043 UTC,../../files/feature_desc/20231121_fhtw_hallway.pcd ../../files/feature_desc/20240227_F6stair_9_filtered_PointNormal.pcd -log ,../../files/feature_desc/20240227_F6stair_9_filtered_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_fpfh33.pcd,fpfh_1,31.965501,1533.676107,1.577015,FAILED,none,none,1000000,0.950000,0.250000,0.800000
