hostname,executable,timestamp,PCD_filename,Threshold-F,Decimation-F,depth_to_disparity-F,spatial_filter,temporal_filter,hole_filling_filter,disparity_to_depth-F,Sum RS2 filters,RS2 PC calc. orig.,RS2 PC calc fil.,RS2 PC to PCL orig.,RS2 PC to PCL fil.,sum RS2 depth to PCL (orig.+fil.),sum RS2 depth to PCL (fil. only)
ChrisLegion,./09_realsense_filter,09/29/23 17:57:49.370817152 UTC,PCD not saved to files,3.37072 ms,14.522 ms,14.1831 ms,4.15759 ms,0.804424 ms,0.589905 ms,0.342619 ms,37.9704 ms,29.348 ms,0.579855 ms,45.9906 ms,2.42617 ms,78.3446 ms,3.00602 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:07:27.684681960 UTC,PCD not saved to files,4.38925 ms,17.2444 ms,16.4971 ms,3.88704 ms,0.753176 ms,0.521684 ms,0.295588 ms,43.5884 ms,9.75682 ms,0.551041 ms,33.6852 ms,1.83811 ms,45.8312 ms,2.38915 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:08:07.735301861 UTC,PCD not saved to files,1.35562 ms,15.8891 ms,13.2309 ms,2.37397 ms,0.617123 ms,0.505864 ms,0.312553 ms,34.2852 ms,9.73621 ms,0.561338 ms,25.7856 ms,1.83858 ms,37.9217 ms,2.39992 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:13:33.9022524 UTC,PCD not saved to files,1.84765 ms,14.4744 ms,4.77992 ms,4.55923 ms,0.905858 ms,0.659562 ms,0.370922 ms,27.5976 ms,11.2779 ms,0.594853 ms,27.2437 ms,1.70991 ms,40.8264 ms,2.30476 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:15:34.729458816 UTC,PCD not saved to files,1.5584 ms,14.1515 ms,13.1816 ms,2.33965 ms,0.552835 ms,0.44577 ms,0.263942 ms,32.4937 ms,11.5544 ms,0.706279 ms,29.6646 ms,1.75583 ms,43.6811 ms,2.46211 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:17:13.315332346 UTC,PCD not saved to files,3.90209 ms,18.3826 ms,15.9898 ms,4.94785 ms,0.786348 ms,0.577798 ms,0.324817 ms,44.9115 ms,8.95905 ms,0.66735 ms,26.8243 ms,1.70315 ms,38.1539 ms,2.3705 ms
ChrisLegion,./09_realsense_filter,09/29/23 18:19:08.738219841 UTC,PCD not saved to files,3.70487 ms,17.9018 ms,16.7041 ms,6.84472 ms,1.08498 ms,0.840033 ms,0.503011 ms,47.5836 ms,9.69686 ms,0.622088 ms,27.0394 ms,1.91161 ms,39.27 ms,2.5337 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:10:06.601775067 UTC,20230930_couch_box,3.70303 ms,16.3518 ms,15.6437 ms,3.72173 ms,1.06533 ms,1.15259 ms,0.386642 ms,42.025 ms,9.37088 ms,0.595722 ms,28.0694 ms,2.55807 ms,40.5941 ms,3.1538 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:10:35.391112422 UTC,../files/20230930_couch_box,4.25421 ms,29.6323 ms,15.7655 ms,4.97411 ms,0.826737 ms,0.615051 ms,0.314176 ms,56.3821 ms,10.1247 ms,0.616624 ms,27.9133 ms,1.75229 ms,40.4068 ms,2.36892 ms
ChrisLegion,./09_realsense_filter,09/30/23 09:11:16.952695555 UTC,../files/20230930_couch_box,4.25166 ms,19.016 ms,17.2121 ms,5.00097 ms,1.2024 ms,1.12982 ms,0.412414 ms,48.2255 ms,9.8789 ms,0.878805 ms,25.922 ms,1.83717 ms,38.5168 ms,2.71598 ms
