hostname,executable,timestamp,cmd_args,srcCloud,destCloudPtNT,destCloudDesc,RANSAC_preset,NE&FEST src [ms],align [ms],fitScore,allignment,info,tf_martrix_filename,maxIter,simThrH,maxCorrDist,inlierFract
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:08.695525621 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_111_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_111_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,537.648529,1226.216366,0.442385,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:08.818009740 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_112_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_112_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,672.732952,980.967982,0.690187,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:08.761120507 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_110_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_110_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,767.513000,953.908578,0.354906,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:08.799297666 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_113_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_113_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,659.491351,1027.371990,0.496676,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:13.99047580 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_114_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_114_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,571.365505,973.064174,0.615385,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:13.183034258 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_115_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_115_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,705.750586,971.565627,0.470489,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:13.224126018 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_117_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_117_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,634.656971,1002.825172,0.263340,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:13.215165113 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_116_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_116_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,689.680003,958.078306,0.287350,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:17.328329868 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_118_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_118_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,609.490125,1182.092138,0.264277,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:17.326014968 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_121_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_121_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,781.833987,1021.817204,0.453954,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:17.512979228 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_119_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_119_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,585.336730,1048.433863,0.563285,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:10:17.532601547 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu.pcd ../../files/20240416_fhtw_stairs_p5a_120_filtered.pcd -p fpfh_5cu -log ,../../files/20240416_fhtw_stairs_p5a_120_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5cu_fpfh33.pcd,fpfh_5cu,635.121104,979.012461,0.298858,FAILED,none,none,128,0.950000,0.600000,0.780000
