hostname,executable,timestamp,cmd_args,srcCloud,destCloudPtNT,destCloudDesc,RANSAC_preset,NE&FEST src [ms],align [ms],fitScore,allignment,L2SQR,info,tf_martrix_filename,maxIter,simThrH,maxCorrDist,inlierFract
hostname,executable,timestamp,cmd_args,srcCloud,destCloudPtNT,destCloudDesc,RANSAC_preset,NE&FEST src [ms],align [ms],fitScore,allignment,L2SQR,info,tf_martrix_filename,maxIter,simThrH,maxCorrDist,inlierFract
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.506527229 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_1_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_1_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2578.392016,7841.330732,0.107951,CONVERGED,0.054885,Inliers: 7955 / 8734 (91.080833 %),../../files/20240416_fhtw_stairs_p6a_1_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.509007091 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_8_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_8_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2487.898298,8457.324871,0.134560,CONVERGED,0.041720,Inliers: 7592 / 8321 (91.239037 %),../../files/20240416_fhtw_stairs_p6a_8_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.504055308 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_0_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_0_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2593.510907,8534.271157,0.168361,CONVERGED,0.044751,Inliers: 7898 / 8676 (91.032738 %),../../files/20240416_fhtw_stairs_p6a_0_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.506485752 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_3_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_3_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2517.549975,8681.565373,0.172318,CONVERGED,0.051741,Inliers: 7885 / 8650 (91.156067 %),../../files/20240416_fhtw_stairs_p6a_3_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.510023274 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_7_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_7_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2461.779123,8795.087797,8.834670,FAILED,none,none,none,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.515792012 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_10_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_10_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2623.352958,8673.137893,0.114007,CONVERGED,0.050822,Inliers: 7932 / 8722 (90.942444 %),../../files/20240416_fhtw_stairs_p6a_10_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.506176549 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_5_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_5_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2534.998699,9021.861808,0.115959,CONVERGED,0.053851,Inliers: 7917 / 8720 (90.791283 %),../../files/20240416_fhtw_stairs_p6a_5_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.510600582 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_4_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_4_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2658.091881,8945.665849,0.101777,CONVERGED,0.049361,Inliers: 8077 / 8812 (91.659103 %),../../files/20240416_fhtw_stairs_p6a_4_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
ChrisLegion,./15_fpfh_registration,09/12/24 15:29:56.504856839 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3.pcd ../../files/20240416_fhtw_stairs_p6a_9_filtered.pcd -p fpfh_3 -log ,../../files/20240416_fhtw_stairs_p6a_9_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_3_fpfh33.pcd,fpfh_3,2464.909943,9233.787389,0.098511,CONVERGED,0.053585,Inliers: 7757 / 8418 (92.147781 %),../../files/20240416_fhtw_stairs_p6a_9_filtered_tfmatrix.Affine3f,1000000,0.950000,0.600000,0.900000
