hostname,executable,timestamp,cmd_args,srcCloud,destCloudPtNT,destCloudDesc,RANSAC_preset,NE&FEST src [ms],align [ms],fitScore,allignment,L2SQR,info,tf_martrix_filename,maxIter,simThrH,maxCorrDist,inlierFract
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:13.731053170 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_6_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_6_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,90.055257,5062.179806,14.253659,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.761911528 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_11_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_11_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,874.377076,4253.445349,15.299098,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.758782290 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_0_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_0_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,902.169747,4402.299898,14.907084,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.753684899 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_2_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_2_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,1185.744883,4379.887571,15.212751,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.749631485 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_5_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_5_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,798.754311,4792.955810,13.829933,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.743774935 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_4_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_4_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,871.880369,4883.996870,14.859763,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.732165942 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_7_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_7_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,926.216866,5119.573335,14.829762,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.755447679 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_1_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_1_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,922.711335,5154.734875,15.681606,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.755085862 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_3_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_3_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,1156.945878,4983.619922,15.377261,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.763553258 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_10_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_10_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,926.516225,5266.516363,16.812826,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.758471495 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_9_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_9_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,990.463908,5326.340571,15.528510,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:15.965690918 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_8_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_8_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,1051.386743,5148.388954,15.649839,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:21.21363765 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_18_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_18_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,257.048379,3953.782266,12.389450,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:21.323354970 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_12_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_12_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,215.077489,4283.675898,11.896734,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:23.498863877 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_14_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_14_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,119.307857,2942.154723,6.510059,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:23.683359011 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_16_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_16_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,154.632147,3340.398002,7.825275,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
ChrisLegion,./15_fpfh_registration,09/11/24 17:17:23.881245034 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2.pcd ../../files/20240416_fhtw_stairs_p5a_19_filtered.pcd -p fpfh_2 -log ,../../files/20240416_fhtw_stairs_p5a_19_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_2_fpfh33.pcd,fpfh_2,137.900545,3501.601157,13.633529,FAILED,none,none,none,500000,0.950000,0.250000,0.800000
