id, timestamp, converged, tf_row1, tf_row2, tf_row3, tf_row4, successful_count
4, 2024-06-23 13:12:39.534 UTC, 1, 1 0 0 -0.148635, 0 1 0 0.881834, 0 0 1 -2.22637, 0 0 0 1, 1
135, 2024-06-23 13:12:49.884 UTC, 1, 1 0 0 -0.389261, 0 1 0 0.908776, 0 0 1 -0.561945, 0 0 0 1, 2
139, 2024-06-23 13:12:50.071 UTC, 1, 1 0 0 -0.220564, 0 1 0 0.882343, 0 0 1 -0.496172, 0 0 0 1, 3
142, 2024-06-23 13:12:50.225 UTC, 1, 1 0 0 -0.37695, 0 1 0 0.869803, 0 0 1 -0.556896, 0 0 0 1, 4
143, 2024-06-23 13:12:50.272 UTC, 1, 1 0 0 -0.377479, 0 1 0 0.867631, 0 0 1 -0.624981, 0 0 0 1, 5
144, 2024-06-23 13:12:50.319 UTC, 1, 1 0 0 -0.526589, 0 1 0 0.948478, 0 0 1 -0.628584, 0 0 0 1, 6
146, 2024-06-23 13:12:50.418 UTC, 1, 1 0 0 -0.372092, 0 1 0 1.08418, 0 0 1 -0.881817, 0 0 0 1, 7
147, 2024-06-23 13:12:50.465 UTC, 1, 1 0 0 -0.153928, 0 1 0 0.948329, 0 0 1 -0.959767, 0 0 0 1, 8
148, 2024-06-23 13:12:50.509 UTC, 1, 1 0 0 -0.283003, 0 1 0 0.992082, 0 0 1 -0.859043, 0 0 0 1, 9
149, 2024-06-23 13:12:50.563 UTC, 1, 1 0 0 -0.288787, 0 1 0 1.04912, 0 0 1 -0.872699, 0 0 0 1, 10
188, 2024-06-23 13:12:53.000 UTC, 1, 1 0 0 -0.23803, 0 1 0 1.06046, 0 0 1 -2.19187, 0 0 0 1, 11
205, 2024-06-23 13:12:53.987 UTC, 1, 1 0 0 -0.183405, 0 1 0 0.438039, 0 0 1 -2.41351, 0 0 0 1, 12
210, 2024-06-23 13:12:54.273 UTC, 1, 1 0 0 -0.205675, 0 1 0 0.463753, 0 0 1 -2.36262, 0 0 0 1, 13
232, 2024-06-23 13:12:55.730 UTC, 1, 1 0 0 -0.384654, 0 1 0 0.665571, 0 0 1 -2.21583, 0 0 0 1, 14
238, 2024-06-23 13:12:56.156 UTC, 1, 1 0 0 -0.168079, 0 1 0 0.477904, 0 0 1 -2.38594, 0 0 0 1, 15
259, 2024-06-23 13:12:57.654 UTC, 1, 1 0 0 -0.252511, 0 1 0 0.579328, 0 0 1 -2.30727, 0 0 0 1, 16
