id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, successful_count
1, 2024-08-31 12:55:17.587 UTC, 0, 36262932480, 253833216, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0
2, 2024-08-31 12:55:17.695 UTC, 0, 36262932480, 253833216, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0
3, 2024-08-31 12:55:17.782 UTC, 0, 36263378944, 254279680, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0
4, 2024-08-31 12:55:17.868 UTC, 0, 36263378944, 254300160, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0
5, 2024-08-31 12:55:17.941 UTC, 1, 36263378944, 254300160, 6291456, 2097152, 0, -0.50705 0.195056 -0.839556 -0.0752589, -0.518409 -0.847192 0.116263 -1.83845, -0.688587 0.494185 0.530688 -0.797221, 0 0 0 1, 1
6, 2024-08-31 12:55:18.067 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
7, 2024-08-31 12:55:18.137 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
8, 2024-08-31 12:55:18.224 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
9, 2024-08-31 12:55:18.306 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
10, 2024-08-31 12:55:18.392 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
11, 2024-08-31 12:55:18.489 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
12, 2024-08-31 12:55:18.586 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
13, 2024-08-31 12:55:18.690 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 1
14, 2024-08-31 12:55:18.781 UTC, 1, 36263378944, 254431232, 6291456, 2097152, 0, -0.27056 0.843154 0.464633 -2.41263, 0.102867 0.505192 -0.856852 2.54063, -0.957192 -0.184035 -0.223417 0.236236, 0 0 0 1, 2
15, 2024-08-31 12:55:18.887 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2
16, 2024-08-31 12:55:18.989 UTC, 0, 36263378944, 254431232, 6291456, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2
