id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 09:00:45.343 UTC, 0, 36201099264, 276770816, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:45.376 UTC, 2024-09-09 09:00:45.497 UTC, 2024-09-09 09:00:45.726 UTC, 0
2, 2024-09-09 09:00:45.726 UTC, 0, 36201918464, 277590016, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:45.762 UTC, 2024-09-09 09:00:45.841 UTC, 2024-09-09 09:00:45.999 UTC, 0
3, 2024-09-09 09:00:45.999 UTC, 0, 36201918464, 277590016, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:46.016 UTC, 2024-09-09 09:00:46.055 UTC, 2024-09-09 09:00:46.198 UTC, 0
4, 2024-09-09 09:00:46.198 UTC, 0, 36201918464, 277692416, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:46.216 UTC, 2024-09-09 09:00:46.288 UTC, 2024-09-09 09:00:46.462 UTC, 0
5, 2024-09-09 09:00:46.462 UTC, 0, 36269027328, 277692416, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:46.505 UTC, 2024-09-09 09:00:46.581 UTC, 2024-09-09 09:00:46.743 UTC, 0
6, 2024-09-09 09:00:46.743 UTC, 0, 36269027328, 277692416, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:46.756 UTC, 2024-09-09 09:00:46.794 UTC, 2024-09-09 09:00:46.949 UTC, 0
7, 2024-09-09 09:00:46.949 UTC, 0, 36269670400, 278233088, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:46.966 UTC, 2024-09-09 09:00:47.019 UTC, 2024-09-09 09:00:47.165 UTC, 0
8, 2024-09-09 09:00:47.165 UTC, 0, 36269670400, 278233088, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:47.208 UTC, 2024-09-09 09:00:47.307 UTC, 2024-09-09 09:00:47.491 UTC, 0
9, 2024-09-09 09:00:47.491 UTC, 0, 36269670400, 278233088, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:47.527 UTC, 2024-09-09 09:00:47.607 UTC, 2024-09-09 09:00:47.785 UTC, 0
10, 2024-09-09 09:00:47.785 UTC, 0, 36269670400, 278233088, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:47.809 UTC, 2024-09-09 09:00:47.867 UTC, 2024-09-09 09:00:48.046 UTC, 0
11, 2024-09-09 09:00:48.046 UTC, 1, 36269670400, 278233088, 12582912, 2097152, 0, 0.303642 -0.0343516 -0.952166 0.811962, 0.945696 -0.110824 0.305577 1.56673, -0.11602 -0.993246 -0.00116458 -0.0621076, 0 0 0 1, 2024-09-09 09:00:48.072 UTC, 2024-09-09 09:00:48.142 UTC, 2024-09-09 09:00:48.361 UTC, 1
12, 2024-09-09 09:00:48.361 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.493267 0.10156 -0.863929 0.460324, 0.86985 -0.0654964 0.488948 1.17807, -0.00692626 -0.992671 -0.120649 0.262036, 0 0 0 1, 2024-09-09 09:00:48.412 UTC, 2024-09-09 09:00:48.463 UTC, 2024-09-09 09:00:48.712 UTC, 2
13, 2024-09-09 09:00:48.712 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.406681 0.072299 -0.910705 0.650856, 0.912586 0.0141113 0.408641 1.35887, 0.0423956 -0.997283 -0.0602401 0.0856318, 0 0 0 1, 2024-09-09 09:00:48.734 UTC, 2024-09-09 09:00:48.801 UTC, 2024-09-09 09:00:48.983 UTC, 3
14, 2024-09-09 09:00:48.983 UTC, 0, 36269670400, 278425600, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:49.008 UTC, 2024-09-09 09:00:49.045 UTC, 2024-09-09 09:00:49.226 UTC, 3
15, 2024-09-09 09:00:49.226 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.445958 0.135117 -0.884796 0.488416, 0.888575 0.0518939 0.455787 1.10756, 0.107501 -0.98947 -0.0969203 0.163567, 0 0 0 1, 2024-09-09 09:00:49.283 UTC, 2024-09-09 09:00:49.340 UTC, 2024-09-09 09:00:49.543 UTC, 4
16, 2024-09-09 09:00:49.543 UTC, 0, 36269670400, 278425600, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:49.566 UTC, 2024-09-09 09:00:49.631 UTC, 2024-09-09 09:00:49.795 UTC, 4
17, 2024-09-09 09:00:49.795 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.491451 0.271609 -0.827468 0.200345, 0.841246 0.097796 0.531734 0.98496, 0.225346 -0.957426 -0.180426 0.315628, 0 0 0 1, 2024-09-09 09:00:49.819 UTC, 2024-09-09 09:00:49.912 UTC, 2024-09-09 09:00:50.146 UTC, 5
18, 2024-09-09 09:00:50.146 UTC, 0, 36269670400, 278425600, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:50.172 UTC, 2024-09-09 09:00:50.231 UTC, 2024-09-09 09:00:50.445 UTC, 5
19, 2024-09-09 09:00:50.445 UTC, 0, 36269670400, 278425600, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:50.473 UTC, 2024-09-09 09:00:50.532 UTC, 2024-09-09 09:00:50.692 UTC, 5
20, 2024-09-09 09:00:50.692 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.50599 0.0597664 -0.860466 0.338561, 0.860305 -0.106728 0.498482 1.09001, -0.0620441 -0.99249 -0.105421 0.213823, 0 0 0 1, 2024-09-09 09:00:50.711 UTC, 2024-09-09 09:00:50.770 UTC, 2024-09-09 09:00:50.943 UTC, 6
21, 2024-09-09 09:00:50.944 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.5003 0.155175 -0.851834 0.237532, 0.865798 -0.100659 0.490166 1.25111, -0.00968359 -0.982745 -0.184709 0.392683, 0 0 0 1, 2024-09-09 09:00:50.979 UTC, 2024-09-09 09:00:51.056 UTC, 2024-09-09 09:00:51.232 UTC, 7
22, 2024-09-09 09:00:51.232 UTC, 0, 36269670400, 278425600, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:51.277 UTC, 2024-09-09 09:00:51.337 UTC, 2024-09-09 09:00:51.511 UTC, 7
23, 2024-09-09 09:00:51.511 UTC, 1, 36269670400, 278425600, 12582912, 2097152, 0, 0.446231 0.073187 -0.89192 0.474528, 0.891421 -0.124362 0.435777 1.25077, -0.0790277 -0.989534 -0.120735 0.231134, 0 0 0 1, 2024-09-09 09:00:51.559 UTC, 2024-09-09 09:00:51.644 UTC, 2024-09-09 09:00:51.837 UTC, 8
24, 2024-09-09 09:00:51.837 UTC, 0, 36269670400, 281567232, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:51.884 UTC, 2024-09-09 09:00:51.968 UTC, 2024-09-09 09:00:52.219 UTC, 8
25, 2024-09-09 09:00:52.219 UTC, 0, 36269670400, 281567232, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:52.240 UTC, 2024-09-09 09:00:52.293 UTC, 2024-09-09 09:00:52.493 UTC, 8
26, 2024-09-09 09:00:52.493 UTC, 0, 36269670400, 281567232, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:00:52.518 UTC, 2024-09-09 09:00:52.580 UTC, 2024-09-09 09:00:52.738 UTC, 8
27, 2024-09-09 09:00:52.738 UTC, 1, 36269670400, 281567232, 12582912, 2097152, 0, 0.566938 0.119524 -0.815043 0.354248, 0.822782 -0.0339425 0.567343 1.04593, 0.0401465 -0.992251 -0.117585 0.280138, 0 0 0 1, 2024-09-09 09:00:52.761 UTC, 2024-09-09 09:00:52.836 UTC, 2024-09-09 09:00:53.043 UTC, 9
28, 2024-09-09 09:00:53.043 UTC, 1, 36270014464, 281911296, 12582912, 2097152, 0, 0.644256 0.0641303 -0.762116 0.517076, 0.764803 -0.0582508 0.641626 1.1268, -0.00324612 -0.99624 -0.0865759 0.118391, 0 0 0 1, 2024-09-09 09:00:53.064 UTC, 2024-09-09 09:00:53.112 UTC, 2024-09-09 09:00:53.309 UTC, 10
29, 2024-09-09 09:00:53.309 UTC, 1, 36270014464, 281911296, 12582912, 2097152, 0, 0.741156 0.0866495 -0.665718 0.404887, 0.671265 -0.109734 0.733049 1.01018, -0.00953335 -0.990177 -0.139495 0.34173, 0 0 0 1, 2024-09-09 09:00:53.336 UTC, 2024-09-09 09:00:53.415 UTC, 2024-09-09 09:00:53.608 UTC, 11
30, 2024-09-09 09:00:53.608 UTC, 1, 36270014464, 281915392, 12582912, 2097152, 0, 0.792494 0.126151 -0.59669 0.457771, 0.609005 -0.111307 0.785317 1.02759, 0.0326527 -0.985746 -0.165037 0.412259, 0 0 0 1, 2024-09-09 09:00:53.640 UTC, 2024-09-09 09:00:53.720 UTC, 2024-09-09 09:00:53.915 UTC, 12
31, 2024-09-09 09:00:53.915 UTC, 1, 36270014464, 281915392, 12582912, 2097152, 0, 0.76579 0.095959 -0.635891 0.593787, 0.642914 -0.0910099 0.760513 1.11283, 0.0151059 -0.991216 -0.131388 0.256619, 0 0 0 1, 2024-09-09 09:00:53.943 UTC, 2024-09-09 09:00:54.031 UTC, 2024-09-09 09:00:54.232 UTC, 13
32, 2024-09-09 09:00:54.233 UTC, 1, 36270014464, 282001408, 12582912, 2097152, 0, 0.756693 0.109224 -0.644581 0.574257, 0.6537 -0.111963 0.748425 1.15588, 0.00957667 -0.987691 -0.156122 0.373438, 0 0 0 1, 2024-09-09 09:00:54.263 UTC, 2024-09-09 09:00:54.333 UTC, 2024-09-09 09:00:54.539 UTC, 14
33, 2024-09-09 09:00:54.539 UTC, 1, 36270014464, 282001408, 12582912, 2097152, 0, 0.738989 0.121389 -0.662692 0.593695, 0.673516 -0.109043 0.731085 1.23505, 0.016484 -0.986597 -0.162339 0.331841, 0 0 0 1, 2024-09-09 09:00:54.560 UTC, 2024-09-09 09:00:54.611 UTC, 2024-09-09 09:00:54.804 UTC, 15
34, 2024-09-09 09:00:54.805 UTC, 1, 36270014464, 282001408, 12582912, 2097152, 0, 0.75831 0.140083 -0.636666 0.415058, 0.651667 -0.137106 0.746011 1.28614, 0.0172124 -0.980601 -0.195256 0.462528, 0 0 0 1, 2024-09-09 09:00:54.824 UTC, 2024-09-09 09:00:54.886 UTC, 2024-09-09 09:00:55.100 UTC, 16
35, 2024-09-09 09:00:55.100 UTC, 1, 36270014464, 282001408, 12582912, 2097152, 0, 0.671724 0.0561267 -0.738672 0.614415, 0.740798 -0.0539086 0.669561 1.59522, -0.00224051 -0.996967 -0.0777901 0.290113, 0 0 0 1, 2024-09-09 09:00:55.134 UTC, 2024-09-09 09:00:55.186 UTC, 2024-09-09 09:00:55.375 UTC, 17
