id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 07:36:05.492 UTC, 0, 16845479936, 176713728, 50791680, 40488960, 368640, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:05.532 UTC, 2024-09-09 07:36:05.636 UTC, 2024-09-09 07:36:06.322 UTC, 0
2, 2024-09-09 07:36:06.322 UTC, 0, 16846204928, 177442816, 51375360, 41594880, 18446744073709398016, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:06.355 UTC, 2024-09-09 07:36:06.413 UTC, 2024-09-09 07:36:06.872 UTC, 0
3, 2024-09-09 07:36:06.873 UTC, 0, 16846934016, 178139136, 52224000, 42266880, 23040, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:06.902 UTC, 2024-09-09 07:36:06.972 UTC, 2024-09-09 07:36:07.539 UTC, 0
4, 2024-09-09 07:36:07.540 UTC, 0, 16846934016, 178204672, 52108800, 42347520, 18446744073709378816, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:07.569 UTC, 2024-09-09 07:36:07.615 UTC, 2024-09-09 07:36:07.978 UTC, 0
5, 2024-09-09 07:36:07.979 UTC, 0, 16846934016, 178536448, 52108800, 42144000, 30720, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:08.008 UTC, 2024-09-09 07:36:08.080 UTC, 2024-09-09 07:36:08.646 UTC, 0
6, 2024-09-09 07:36:08.646 UTC, 0, 16914042880, 179208192, 52235520, 42193920, 107520, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:08.674 UTC, 2024-09-09 07:36:08.718 UTC, 2024-09-09 07:36:09.067 UTC, 0
7, 2024-09-09 07:36:09.067 UTC, 0, 16914042880, 179785728, 52396800, 41994240, 468480, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:09.095 UTC, 2024-09-09 07:36:09.174 UTC, 2024-09-09 07:36:09.875 UTC, 0
8, 2024-09-09 07:36:09.875 UTC, 0, 16914042880, 179830784, 53341440, 42370560, 1036800, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:09.903 UTC, 2024-09-09 07:36:09.960 UTC, 2024-09-09 07:36:10.403 UTC, 0
9, 2024-09-09 07:36:10.404 UTC, 0, 16914042880, 179785728, 52573440, 43061760, 18446744073709129216, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:10.430 UTC, 2024-09-09 07:36:10.497 UTC, 2024-09-09 07:36:11.029 UTC, 0
10, 2024-09-09 07:36:11.030 UTC, 0, 16914042880, 179736576, 52646400, 42766080, 18446744073709497856, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:11.057 UTC, 2024-09-09 07:36:11.127 UTC, 2024-09-09 07:36:11.701 UTC, 0
11, 2024-09-09 07:36:11.702 UTC, 0, 16914042880, 179720192, 52569600, 42708480, 18446744073709478656, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:11.730 UTC, 2024-09-09 07:36:11.771 UTC, 2024-09-09 07:36:12.087 UTC, 0
12, 2024-09-09 07:36:12.088 UTC, 0, 16914042880, 179662848, 52788480, 42704640, 149760, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:12.113 UTC, 2024-09-09 07:36:12.179 UTC, 2024-09-09 07:36:12.738 UTC, 0
13, 2024-09-09 07:36:12.739 UTC, 0, 16914042880, 179593216, 52888320, 42800640, 153600, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:36:12.766 UTC, 2024-09-09 07:36:12.850 UTC, 2024-09-09 07:36:13.543 UTC, 0
